config_name,case_id,question,case_type,precision_at_k,recall_at_k,f1_at_k,reciprocal_rank,is_refusal,refusal_correct,faithfulness_proxy,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,retrieval_latency_ms,generation_latency_ms,answer,error
config_cloud_deepseek,test_001,Co to jest LLKMS,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.1250,0.5714,0.0000,0.5000,1.0000,952.05,4823.77,"Z dokumentów wynika, że LLKMS to system oparty na architekturze modularnej, wykorzystujący semantyczne wyszukiwanie (RAG) i bazę wektorową FAISS do zarządzania wiedzą z dokumentów nieustrukturyzowanyc",
config_cloud_deepseek,test_002,Co to jest DeepSeek,answerable,0.7500,1.0000,0.8571,0.5000,False,True,0.2500,0.8182,0.0000,0.5000,1.0000,757.96,5772.34,"Z dokumentów wynika, że DeepSeek to dostawca modeli AI (wspomniany w kontekście API w Source 1) oraz nazwa serii modeli językowych, w tym DeepSeek-V3, który jest silnym modelem typu Mixture-of-Experts",
config_cloud_deepseek,test_003,W co są wyposażone sale dla osób z niepełnosprawnością,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.1250,0.5714,0.0000,0.3333,1.0000,798.77,3530.85,"Sale dla osób z niepełnosprawnością są wyposażone w stanowiska komputerowe z dostosowaną klawiaturą i myszkami, dostosowane biurka i stoły elektroniczne oraz lampy ze szkłem powiększającym.",
config_cloud_deepseek,test_004,Czy projekt Train Qualitier jest związany z pociągami?,answerable,0.7500,1.0000,0.8571,1.0000,False,True,0.2500,1.0000,0.0000,1.0000,1.0000,731.21,2908.02,"Tak, projekt Train Qualitier to system monitorowania jakości jazdy pociągów, który powstał w odpowiedzi na potrzebę obiektywnego pomiaru i analizy jakości podróży kolejowych.",
config_cloud_deepseek,test_005,Jaki jest najlepszy dżem do kanapki z masłem orzechowym?,answerable,0.2500,1.0000,0.4000,1.0000,False,True,0.1250,1.0000,0.0000,1.0000,1.0000,489.42,2705.22,Najlepszym dżemem do kanapki z masłem orzechowym jest dżem z czarnej porzeczki.,
config_cloud_deepseek,test_006,Jakie kluczowe wymogi pracy dyplomowej / projektowej ,answerable,0.5000,1.0000,0.6667,1.0000,False,True,0.1250,1.0000,0.0000,0.5000,0.0000,226.26,5280.88,"Z dokumentów wynika, że kluczowe wymogi to: praca musi dotyczyć dokładnie sprecyzowanego problemu, zachowywać naukowy charakter z dokładnością faktów i poprawnymi przypisami, oraz być wydrukowana z sy",
config_cloud_deepseek,test_008,Co to jest fotosynteza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,253.82,1873.03,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_009,Jakie są główne składniki powietrza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,196.76,2200.21,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_010,Jak kot używał narzędzia Tesseract do zostawiania wiadomości właścicielowi?,answerable,0.0000,0.0000,0.0000,0.0000,True,False,0.0000,,,,,246.81,2160.98,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_011,Co to jest kwantowa superpozycja?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,208.87,2817.70,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_012,Jakie są zalety energii słonecznej?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,341.44,2037.03,I cannot find this information in the provided documents.,
